"Dhin" "Dain" "Bwin" "Erosion" "deltacrest"
"1" 2.529 31.762 33.000 8.852 0.000
"2" 5.629 108.855 33.000 8.444 0.000
"3" 6.129 123.174 33.000 9.194 0.000
"4" 2.529 26.704 33.000 7.774 0.020
"5" 2.829 32.63 33.000 7.073 0.000
"6" 3.129 37.561 33.000 7.823 0.000
"7" 3.429 42.762 33.000 8.573 0.000
"8" 3.729 50.098 33.000 7.458 0.000
"9" 4.029 55.989 33.000 8.058 0.000
"10" 4.329 62.15 33.000 8.658 0.000
"11" 4.729 73.149 33.000 7.094 0.000
"12" 2.829 38.288 33.000 7.073 0.000
"13" 5.129 82.464 33.000 7.694 0.000
"14" 5.629 97.597 33.000 8.444 0.000
"15" 6.129 110.916 33.000 9.194 0.000
"16" 2.529 21.646 33.000 9.581 0.670
"17" 2.829 26.971 33.000 8.235 0.330
"18" 3.129 31.303 33.000 8.985 0.330
"19" 3.429 35.904 33.000 9.735 0.330
"20" 3.729 42.639 33.000 7.458 0.000
"21" 4.029 47.931 33.000 8.058 0.000
"22" 4.329 53.492 33.000 8.658 0.000
"23" 3.129 43.819 33.000 7.823 0.000
"24" 4.729 63.691 33.000 7.094 0.000
"25" 5.129 72.206 33.000 7.694 0.000
"26" 5.629 86.339 33.000 8.444 0.000
"27" 6.129 98.658 33.000 9.194 0.000
"28" 2.529 16.588 33.000 16.588 4.400
"29" 2.829 21.313 33.000 8.818 0.820
"30" 3.129 25.045 33.000 10.786 0.940
"31" 3.429 29.046 33.000 10.793 0.860
"32" 3.729 35.181 33.000 10.720 0.650
"33" 4.029 39.872 33.000 10.049 0.670
"34" 3.429 49.62 33.000 8.573 0.000
"35" 4.329 44.834 33.000 10.648 0.670
"36" 4.729 54.233 33.000 8.255 0.330
"37" 5.129 61.948 33.000 8.854 0.330
"38" 5.629 75.081 33.000 12.343 0.330
"39" 6.129 86.4 33.000 10.520 0.330
"40" 2.529 11.53 33.000 11.530 4.400
"41" 2.829 15.655 33.000 15.655 4.700
"42" 3.129 18.786 33.000 10.309 1.670
"43" 3.429 22.188 33.000 11.057 1.670
"44" 3.729 27.723 33.000 9.969 1.210
"45" 3.729 57.556 33.000 7.458 0.000
"46" 4.029 31.814 33.000 10.116 1.170
"47" 4.329 36.176 33.000 10.806 1.170
"48" 4.729 44.775 33.000 9.578 1.000
"49" 5.129 51.69 33.000 10.177 1.000
"50" 5.629 63.823 33.000 7.616 0.670
"51" 6.129 74.141 33.000 9.432 0.730
"52" 4.029 64.047 33.000 8.058 0.000
"53" 4.329 70.808 33.000 8.658 0.000
"54" 4.729 82.607 33.000 7.094 0.000
"55" 5.129 92.722 33.000 7.694 0.000
"56" 2.529 35.556 33.000 5.058 0.000
"57" 5.629 122.928 33.000 0.000 0.000
"58" 6.129 141.561 33.000 0.000 0.000
"59" 2.529 30.497 33.000 5.058 0.000
"60" 2.829 36.873 33.000 4.244 0.000
"61" 3.129 42.254 33.000 4.694 0.000
"62" 3.429 49.62 33.000 3.429 0.000
"63" 3.729 55.691 33.000 3.729 0.000
"64" 4.029 64.047 33.000 4.029 0.000
"65" 4.329 72.972 33.000 2.165 0.000
"66" 4.729 82.607 33.000 2.365 0.000
"67" 2.829 42.531 33.000 4.244 0.000
"68" 5.129 95.287 33.000 2.565 0.000
"69" 5.629 111.67 33.000 0.000 0.000
"70" 6.129 129.303 33.000 0.000 0.000
"71" 2.529 25.439 33.000 5.058 0.000
"72" 2.829 31.215 33.000 4.244 0.000
"73" 3.129 35.996 33.000 4.694 0.000
"74" 3.429 42.762 33.000 3.429 0.000
"75" 3.729 48.233 33.000 3.729 0.000
"76" 4.029 55.989 33.000 4.029 0.000
"77" 4.329 64.314 33.000 2.165 0.000
"78" 3.129 48.512 33.000 4.694 0.000
"79" 4.729 73.149 33.000 2.365 0.000
"80" 5.129 85.029 33.000 2.565 0.000
"81" 5.629 100.412 33.000 0.000 0.000
"82" 6.129 117.045 33.000 0.000 0.000
"83" 2.529 20.381 33.000 7.385 0.670
"84" 2.829 25.557 33.000 5.573 0.330
"85" 3.129 29.738 33.000 6.023 0.330
"86" 3.429 35.904 33.000 3.429 0.000
"87" 3.729 40.775 33.000 3.729 0.000
"88" 4.029 47.931 33.000 4.029 0.000
"89" 3.429 56.478 33.000 3.429 0.000
"90" 4.329 55.656 33.000 2.165 0.000
"91" 4.729 63.691 33.000 2.365 0.000
"92" 5.129 74.77 33.000 2.565 0.000
"93" 5.629 89.154 33.000 0.000 0.000
"94" 6.129 104.787 33.000 0.000 0.000
"95" 2.529 15.323 33.000 8.843 1.390
"96" 2.829 19.899 33.000 7.234 1.000
"97" 3.129 23.48 33.000 8.200 0.950
"98" 3.429 29.046 33.000 5.754 0.670
"99" 3.729 33.317 33.000 6.053 0.670
"100" 3.729 63.149 33.000 3.729 0.000
"101" 4.029 39.872 33.000 3.343 0.330
"102" 4.329 46.998 33.000 3.659 0.330
"103" 4.729 54.233 33.000 3.858 0.330
"104" 5.129 64.512 33.000 1.317 0.060
"105" 5.629 77.895 33.000 0.000 0.000
"106" 6.129 92.529 33.000 0.000 0.000
"107" 4.029 72.105 33.000 4.029 0.000
"108" 4.329 81.631 33.000 2.165 0.000
"109" 4.729 92.065 33.000 2.365 0.000
"110" 5.129 105.545 33.000 2.565 0.000
"111" 2.529 38.085 33.000 3.794 0.000
"112" 5.629 139.815 33.000 0.000 0.000
"113" 6.129 159.948 33.000 0.000 0.000
"114" 2.529 33.027 33.000 3.794 0.000
"115" 2.829 39.702 33.000 2.829 0.000
"116" 3.129 46.948 33.000 3.129 0.000
"117" 3.429 54.764 33.000 1.715 0.000
"118" 3.729 63.149 33.000 0.000 0.000
"119" 4.029 72.105 33.000 0.000 0.000
"120" 4.329 81.631 33.000 0.000 0.000
"121" 4.729 94.43 33.000 0.000 0.000
"122" 2.829 45.36 33.000 2.829 0.000
"123" 5.129 108.109 33.000 0.000 0.000
"124" 5.629 128.557 33.000 0.000 0.000
"125" 6.129 147.69 33.000 0.000 0.000
